name,description,when_it_works_well,source_url,source_type
Prompt chaining,"Break a task into a sequence of LLM calls where each step's output feeds the next, with optional checks in between.","Best when a task decomposes cleanly into fixed, sequential subtasks -- trades some latency for higher accuracy on each step.",https://www.anthropic.com/research/building-effective-agents,vendor_docs
Routing,"Classify an input and direct it to a specialized prompt, model, or downstream flow rather than handling every case with one generic path.","Best for complex tasks with distinct categories that are better handled separately, and when classification can be done reliably.",https://www.anthropic.com/research/building-effective-agents,vendor_docs
Parallelization,"Run multiple LLM calls simultaneously on subtasks or perspectives, then aggregate the results (sectioning or voting).","Best when subtasks can run independently for speed, or when running the same task multiple times and combining outputs improves confidence.",https://www.anthropic.com/research/building-effective-agents,vendor_docs
Orchestrator-workers,"A central LLM dynamically breaks a task into subtasks, delegates them to worker LLM calls, and synthesizes the results.","Best for complex, open-ended tasks where the subtasks can't be predicted in advance -- e.g. coding changes that touch an unknown set of files.",https://www.anthropic.com/research/building-effective-agents,vendor_docs
Evaluator-optimizer,"One LLM call generates a response while a second evaluates it against explicit criteria and feeds back for another iteration.","Best when there are clear evaluation criteria and iterative refinement measurably improves the output, similar to a human editor's revision cycle.",https://www.anthropic.com/research/building-effective-agents,vendor_docs
Autonomous agent loop,"The LLM plans, acts via tool calls, observes the result, and repeats -- operating independently until the task is complete or a stopping condition is hit, rather than following a fixed predefined path.","Best for open-ended problems where the number of steps can't be predicted and rigid, hardcoded logic would be too brittle -- at the cost that more autonomy also means more cost and more room for compounding errors.",https://www.anthropic.com/research/building-effective-agents,vendor_docs
ReAct (Reason + Act),"Interleaves explicit reasoning traces with tool-call actions and their observations, so the model 'thinks out loud' about what to do next before each action.","The foundational pattern behind most modern tool-using agents; works well whenever a tool's output needs to inform the next reasoning step rather than being used blind.",https://arxiv.org/abs/2210.03629,academic
Reflection & self-critique,"The agent reviews its own prior output or action against the goal (or explicit criteria) and revises before finalizing.","Helps catch a model's own mistakes without external supervision, particularly for tasks with a checkable/testable outcome such as code that can be run and tested.",https://arxiv.org/abs/2303.17651,academic
Multi-agent collaboration,"Multiple specialized agents, each with a distinct role, prompt, or tool access, communicate to jointly complete a task, sometimes with one agent acting as coordinator.","Best when a task naturally splits into distinct specialist roles (e.g. researcher + writer, or coder + reviewer) and the overhead of agent-to-agent communication is worth the specialization.",https://www.crewai.com,vendor_docs
Human-in-the-loop approval gates,"The agent proposes an action -- a file edit, a shell command, a commit -- and pauses for explicit human approval before executing it, rather than acting fully autonomously.","Best for higher-stakes or hard-to-reverse actions, or whenever trust in the agent's judgment is still being established.",https://docs.claude.com,vendor_docs
