company_name,industry,tool_or_platform,related_category,what_they_did,reported_efficiency_gain,gain_type,confidence,source_url,source_type,date_reported,notes,target_departments,deployment_status,financial_impact_usd,financial_impact_type,company_size_band,implementation_cost_usd,hq_region
Klarna,Financial Services,OpenAI-powered customer service assistant,Enterprise/workflow agents,"Deployed an AI customer service assistant handling the full range of customer support conversations across markets and languages, integrated into their app.","At launch (2024), reported handling the workload of roughly 700 full-time agents, cutting average resolution time from about 11 minutes to under 2 minutes, and projected a ~$40M USD improvement in profit for 2024. By Q3 2025, CEO Sebastian Siemiatkowski said on the earnings call the AI assistant was doing the work of 853 agents, with the company citing approximately $60M in annualized savings.",time saved; cost reduction; headcount efficiency,high,https://investors.klarna.com/News--Events/news/news-details/2025/Klarna-Delivers-Record-breaking-Q3-as-AI-Powered-Digital-Bank-903-Million-in-Revenue-and-4-Million-Card-Sign-ups-in-4-Months/default.aspx; https://finance.yahoo.com/news/klarna-says-ai-agent-doing-070000869.html,news_article,2025-11-01,"Verified via live web research (2026-09): the $60M/853-agent figure comes from Klarna's own Q3 2025 earnings call plus corroborating coverage (Yahoo Finance, CX Dive), not AI recall. In May 2025, Klarna's CEO publicly acknowledged the AI-only support approach had gone too far on quality ('what you end up having is lower quality, and that's not sustainable') and began rehiring human agents toward a hybrid model -- still the field's most-cited cautionary tale about over-automating customer support, not just a win. HQ region added 2026-09-08 via public company records.",Customer Support; After-Sales/Service,scaled then partially reversed,60000000.0,profit impact,Enterprise ($1B+),,Europe
GitHub / Microsoft Research,Software/Technology,GitHub Copilot,Coding/dev agents,"Ran a controlled study where developers implemented an HTTP server using GitHub Copilot versus without it, comparing task completion time.",Developers using Copilot completed the task approximately 55% faster in the study.,time saved,high,https://github.blog,vendor_docs,2022-09-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. This is a controlled research study (not a specific company's procurement/rollout), so company_size_band is intentionally left applicable to all sizes rather than tagged to GitHub's own enterprise scale -- the underlying effect size is what transfers, not company scale. HQ region added 2026-09-08 via public company records.",R&D/Engineering; IT,scaled/production,,not quantified,Not company-specific (research study),,North America
IBM,Cross-industry,IBM watsonx Assistant (internal AskHR),Enterprise/workflow agents,"Deployed an internal AI assistant (AskHR) to automate routine, tier-1 HR questions and requests for employees, reducing the need for human HR staff on repetitive queries.",IBM leadership has publicly described multi-year cost savings in the hundreds of millions of dollars from automating routine HR/back-office work; exact current figures vary by disclosure.,cost reduction; headcount efficiency,moderate,https://www.ibm.com,news_article,2023-05-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. IBM's CEO publicly stated in 2023 that the company had paused hiring for several thousand back-office roles (HR and other support functions) that AI assistant tooling like AskHR could plausibly absorb over time -- illustrating that 'efficiency' claims in this space often mean slower hiring, not just direct cost cuts. HQ region added 2026-09-08 via public company records.",HR,scaled/production,,headcount efficiency,Enterprise ($1B+),,North America
Lumen Technologies,Telecommunications,Microsoft 365 Copilot,Enterprise/workflow agents,Rolled out Microsoft 365 Copilot to its sales organization to help draft sales proposals and RFP responses.,Publicized as a Microsoft customer story reporting roughly $50M in annual savings and about 4 hours saved per week per seller.,time saved; cost reduction,high,https://www.microsoft.com,case_study,2024-03-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",Cross-functional; IT,scaled/production,,not quantified,Enterprise ($1B+),,North America
Shopify,Retail/E-commerce,Various (GitHub Copilot and internal AI tooling),Coding/dev agents,"CEO memo (made public) required teams to demonstrate why a task could not be accomplished with AI before requesting additional headcount, reflecting a broad AI-first mandate across engineering and other functions.",Directional/company-wide productivity mandate rather than a single quantified metric; no specific aggregate percentage confidently recalled.,cost reduction; quality improvement,directional,https://www.shopify.com,news_article,2025-04-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",R&D/Engineering; IT,scaled/production,,not quantified,Enterprise ($1B+),,North America
Duolingo,Education/Academia,OpenAI GPT-4 (custom integration),Enterprise/workflow agents,Used GPT-4 to help generate and review new language-learning exercises and content at a scale beyond what human content teams alone could produce.,Duolingo's own engineering blog described a substantial acceleration in content creation throughput; exact multiplier not confidently recalled.,time saved; quality improvement,moderate,https://blog.duolingo.com,vendor_docs,2023-03-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. In early 2024, Duolingo reduced its contractor workforce (reported at roughly 10%), with the company linking part of the reduction to increased use of generative AI in content production. HQ region added 2026-09-08 via public company records.",R&D/Engineering; Marketing,scaled/production,,headcount efficiency,Enterprise ($1B+),,North America
Nubank,Financial Services,Devin,Coding/dev agents,Used Cognition's Devin agent to assist with a large-scale legacy code migration project.,Cognition cited a significant reduction in migration time versus a fully manual approach; the exact percentage was not independently verified.,time saved; cost reduction,moderate,https://cognition.ai,case_study,2024-06-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",R&D/Engineering; IT,pilot,,not quantified,Enterprise ($1B+),,Latin America
LinkedIn,Professional Services/Consulting,LangChain/LangGraph,Enterprise/workflow agents,Published an engineering blog describing an internal agentic system (built with LangGraph) supporting recruiter and hiring workflows.,Reported improved recruiter workflow efficiency; a specific quantified aggregate percentage was not confidently recalled.,time saved; quality improvement,directional,https://engineering.linkedin.com,vendor_docs,2024-05-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",R&D/Engineering,pilot,,not quantified,Enterprise ($1B+),,North America
JPMorgan Chase,Financial Services,"Internal LLM Suite (proprietary, built on third-party models)",Enterprise/workflow agents,"Rolled out an internal generative AI assistant ('LLM Suite') to over 200,000 employees for research, summarization, drafting, and code-related tasks.","Disclosed productivity gains of roughly 1-2 hours saved per user per week, and a 10-20% productivity increase in specific areas such as code creation and conversion. Won American Banker's 2025 Innovation of the Year Grand Prize for the rollout.",time saved; quality improvement,high,https://www.arizent.com/news/jpmorganchases-llm-suite-wins-american-bankers-2025-innovation-of-the-year-award-grand-prize; https://www.artificialintelligence-news.com/news/jpmorgan-chase-ai-strategy-2025/,news_article,2025-09-01,"Verified via live web research (2026-09), replacing an earlier AI-recalled placeholder. No single aggregate percentage across the whole platform has been disclosed -- the 10-20% figure is specific to code creation/conversion use cases, not the full 200,000-user rollout. HQ region added 2026-09-08 via public company records.",Cross-functional,scaled/production,,not quantified,Enterprise ($1B+),,North America
Moderna,Healthcare,OpenAI ChatGPT Enterprise,Enterprise/workflow agents,"Rolled out ChatGPT Enterprise company-wide for research support, regulatory/operational writing, and internal knowledge tasks.","Within two months of rollout, employees had built roughly 750 internal custom GPTs, Moderna's legal department reached 100% adoption (the highest of any function), and usage intensity reached about 120 ChatGPT Enterprise conversations per user per week.",time saved; quality improvement,moderate,https://intuitionlabs.ai/articles/moderna-ai-adoption-case-study,news_article,2024-02-01,"Verified via live web research (2026-09): these are real disclosed adoption/usage-intensity metrics, not a dollar or productivity-percentage figure -- Moderna has not published an audited productivity or cost figure tied to this rollout, so financial_impact_usd stays empty rather than estimated. HQ region added 2026-09-08 via public company records.",R&D/Engineering; Legal/Compliance,scaled/production,,not quantified,Enterprise ($1B+),,North America
